audio,text,order,name,command
466,قم بحظر سامر عبدالرحمن,حظر,سامر عبدالرحمن,block
467,فك الحظر,فك الحظر,,unblock
468,اتصل بوائل,اتصل,وائل,call
469,اتصل على وائل,اتصل,وائل,call
470,انهي المكالمة,انهي المكالمة,,endCall
471,افتح الشات مع سعيد سامر,افتح الشات,سعيد سامر,openChat
472,اغلق الدردشة,اغلق الدردشة,,closeChat
473,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
474,اقرا رسائل هادي,اقرا رسائل,هادي,readMessages
475,اتصل,اتصل,,call
476,انهي الاتصال,انهي الاتصال,,endCall
477,رسالة نصية الى اسعد,رسالة نصية,اسعد,textMessage
478,ابدأ الدردشة مع سامي مهاب,ابدأ الدردشة,سامي مهاب,openChat
479,اغلق الشات,اغلق الشات,,closeChat
480,ارسل رسالة صوتية الى صلاح,رسالة صوتية,صلاح,voiceMessage
483,اقرا الرسائل,اقرا الرسائل,,readMessages
481,حظر,حظر,,block
482,قم بفك الحظر عن ياسر,فك الحظر,ياسر,unblock
484,ارسل رسالة نصية,رسالة نصية,,textMessage
485,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
486,حظر عبدالرحمن,حظر,عبدالرحمن,block
487,فك الحظر عن سامح,فك الحظر,سامح,unblock
488,اتصال,اتصال,,call
489,مكالمة,مكالمة,,call
490,اغلق المكالمة,اغلق المكالمة,,endCall
491,افتح المحادثة مع علي اسعد,افتح المحادثة,علي اسعد,openChat
492,اغلق المحادثة,اغلق المحادثة,,closeChat
493,اقرا رسائل ياسر سلمان,اقرا رسائل,ياسر سلمان,readMessages
494,اقرا رسائل ياسر سلمان,اقرا رسائل,ياسر سلمان,readMessages
495,ارسل رسالة نصية الى طارق وليد,رسالة نصية,طارق وليد,textMessage
496,ارسل رسالة صوتية الى سيد وليد,رسالة صوتية,سيد وليد,voiceMessage
497,قم بحظر سلمان,حظر,سلمان,block
498,فك الحظر,فك الحظر,,unblock
499,اقرا الرسائل,اقرا الرسائل,,readMessages
500,اغلق الاتصال,اغلق الاتصال,,endCall
501,ابدا مكالمة مع سامح,مكالمة,سامح,call
502,انهي المكالمة,انهي المكالمة,,endCall
503,افتح محادثة احمد سليمان,افتح محادثة,احمد سليمان,openChat
504,انهي الدردشة,انهي الدردشة,,closeChat
505,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
506,اقرا رسائل سامي,اقرا رسائل,سامي,readMessages
507,رسالة نصية الى سامي علاء,رسالة نصية,سامي علاء,textMessage
508,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
509,حظر,حظر,,block
510,قم بفك الحظر عن عبدالله,فك الحظر,عبدالله,unblock
511,اتصل بياسر,اتصل,ياسر,call
512,اتصل على سيد,اتصل,سيد,call
513,افتح شات سامي وليد,افتح شات,سامي وليد,openChat
514,افتح الدردشة مع صلاح هاني,افتح الدردشة,صلاح هاني,openChat
515,انهي الشات,انهي الشات,,closeChat
516,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
517,اقرا الرسائل,اقرا الرسائل,,readMessages
518,ارسل رسالة نصية,رسالة نصية,,textMessage
519,ارسل رسالة صوتية الى زياد بهاء,رسالة صوتية,زياد بهاء,voiceMessage
520,حظر سامي وائل,حظر,سامي وائل,block
521,فك الحظر عن عبدالرحمن,فك الحظر,عبدالرحمن,unblock
522,اتصل,اتصل,,call
523,فك الحظر,فك الحظر,,unblock
524,انهي الاتصال,انهي الاتصال,,endCall
525,اتصال,اتصال,,call
526,انهي المحادثة,انهي المحادثة,,closeChat
527,اغلق المكالمة,اغلق المكالمة,,endCall
528,انهي المحادثة,انهي المحادثة,,closeChat
529,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
530,قم بفك الحظر عن بهاء,فك الحظر,بهاء,unblock
531,افتح الشات مع احمد,افتح الشات,احمد,openChat
532,مكالمة,مكالمة,,call
533,اغلق الدردشة,اغلق الدردشة,,closeChat
534,اغلق الاتصال,اغلق الاتصال,,endCall
535,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
536,ابدأ الدردشة مع ايهاب,ابدأ الدردشة,ايهاب,openChat
537,اغلق الشات,اغلق الشات,,closeChat
537,اقرا رسائل محمد سعيد,اقرا رسائل,محمد سعيد,readMessages
539,افتح المحادثة مع طارق,افتح المحادثة,طارق,openChat
539,اقرا الرسائل,اقرا الرسائل,,readMessages
541,ارسل رسالة نصية الى مهاب,رسالة نصية,مهاب,textMessage
542,ابدا مكالمة مع وليد ياسر,مكالمة,وليد ياسر,call
543,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
544,ابدا مكالمة مع مهاب ايهاب,مكالمة,مهاب ايهاب,call
545,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
546,ارسل رسالة نصية الى صلاح,رسالة نصية,صلاح,textMessage
546,اقرا رسائل عبدالله طارق,اقرا رسائل,عبدالله طارق,readMessages
548,قم بحظر هادي سامح,حظر,هادي سامح,block
549,فك الحظر عن بهاء,فك الحظر,بهاء,unblock
550,ارسل رسالة صوتية الى عبدالرحمن عبدالعزيز,رسالة صوتية,عبدالرحمن عبدالعزيز,voiceMessage
551,حظر,حظر,,block
552,انهي المكالمة,انهي المكالمة,,endCall
553,فك الحظر,فك الحظر,,unblock
554,اتصل بايهاب هادي,اتصل,ايهاب هادي,call
555,اتصل بوليد اسعد,اتصل,وليد اسعد,call
556,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
557,اتصل بايهاب هادي,اتصل,ايهاب هادي,call
558,انهي الاتصال,انهي الاتصال,,endCall
558,اتصل على طارق,اتصل,طارق,call
560,اغلق المكالمة,اغلق المكالمة,,endCall
560,افتح محادثة وليد,افتح محادثة,وليد,openChat
562,اغلق المكالمة,اغلق المكالمة,,endCall
563,اغلق المحادثة,اغلق المحادثة,,closeChat
564,افتح محادثة هادي,افتح محادثة,هادي,openChat
565,افتح شات هاني,افتح شات,هاني,openChat
566,انهي الدردشة,انهي الدردشة,,closeChat
567,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
568,اتصل على سامح اسعد,اتصل,سامح اسعد,call
569,اتصل,اتصل,,call
570,اقرا الرسائل,اقرا الرسائل,,readMessages
571,اقرا الرسائل,اقرا الرسائل,,readMessages
572,اقرا الرسائل,اقرا الرسائل,,readMessages
573,رسالة نصية الى هادي محمد,رسالة نصية,هادي محمد,textMessage
574,رسالة نصية الى اسعد,رسالة نصية,اسعد,textMessage
575,اغلق الاتصال,اغلق الاتصال,,endCall
576,حظر اسعد احمد,حظر,اسعد احمد,block
577,ارسل رسالة صوتية الى سامي احمد,رسالة صوتية,سامي احمد,voiceMessage
578,قم بحظر اسعد,حظر,اسعد,block
579,قم بفك الحظر عن سامح سامر,فك الحظر,سامح سامر,unblock
580,اتصال,اتصال,,call
581,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
582,اتصال,اتصال,,call
583,مكالمة,مكالمة,,call
584,مكالمة,مكالمة,,call
585,انهي المكالمة,انهي المكالمة,,endCall
586,افتح الدردشة مع سامي,افتح الدردشة,سامي,openChat
587,انهي الشات,انهي الشات,,closeChat
588,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
589,اقرا رسائل صلاح صلاح,اقرا رسائل,صلاح صلاح,readMessages
590,ارسل رسالة نصية,رسالة نصية,,textMessage
591,ارسل رسالة صوتية الى سامي,رسالة صوتية,سامي,voiceMessage
592,حظر,حظر,,block
593,فك الحظر عن سامر عبدالرحمن,فك الحظر,سامر عبدالرحمن,unblock
594,فك الحظر,فك الحظر,,unblock
595,حظر سامح,حظر,سامح,block
596,قم بفك الحظر عن عبدالله,فك الحظر,عبدالله,unblock
597,افتح الشات مع مهاب سيد,افتح الشات,مهاب سيد,openChat
598,ابدا مكالمة مع زياد هادي,مكالمة,زياد هادي,call
599,ابدا مكالمة مع هادي طارق,مكالمة,هادي طارق,call
600,ابدا مكالمة مع هادي طارق,مكالمة,هادي طارق,call
601,انهي الاتصال,انهي الاتصال,,endCall
602,انهي الاتصال,انهي الاتصال,,endCall
603,ابدأ الدردشة مع سامر سامي,ابدأ الدردشة,سامر سامي,openChat
604,ابدأ الدردشة مع سامر سامي,ابدأ الدردشة,سامر سامي,openChat
605,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
606,ارسل رسالة نصية الى علاء سامي,رسالة نصية,علاء سامي,textMessage
607,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
608,قم بحظر سعيد,حظر,سعيد,block
609,قم بحظر سعيد,حظر,سعيد,block
610,فك الحظر عن سيد طارق,فك الحظر,سيد طارق,unblock
611,فك الحظر عن سيد طارق,فك الحظر,سيد طارق,unblock
612,فك الحظر عن سيد طارق,فك الحظر,سيد طارق,unblock
613,فك الحظر عن سيد طارق,فك الحظر,سيد طارق,unblock
614,اتصل بصلاح,اتصل,صلاح,call
615,اتصل بصلاح,اتصل,صلاح,call
616,اغلق المكالمة,اغلق المكالمة,,endCall
617,اتصل على محمد,اتصل,محمد,call
618,اغلق الاتصال,اغلق الاتصال,,endCall
619,افتح المحادثة مع هادي,افتح المحادثة,هادي,openChat
620,افتح المحادثة مع عبدالله عبدالله,افتح المحادثة,عبدالله عبدالله,openChat
621,اتصل,اتصل,,call
622,انهي المحادثة,انهي المحادثة,,closeChat
623,اتصال,اتصال,,call
624,انهي المكالمة,انهي المكالمة,,endCall
625,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
626,افتح محادثة ايهاب سليمان,افتح محادثة,ايهاب سليمان,openChat
627,اغلق الدردشة,اغلق الدردشة,,closeChat
628,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
629,اقرا الرسائل,اقرا الرسائل,,readMessages
630,رسالة نصية الى مهاب,رسالة نصية,مهاب,textMessage
631,ارسل رسالة صوتية الى علاء,رسالة صوتية,علاء,voiceMessage
632,حظر,حظر,,block
633,فك الحظر,فك الحظر,,unblock
634,فك الحظر,فك الحظر,,unblock
635,مكالمة,مكالمة,,call
636,انهي الاتصال,انهي الاتصال,,endCall
637,ابدا مكالمة مع سليمان,مكالمة,سليمان,call
638,اغلق المكالمة,اغلق المكالمة,,endCall
639,افتح شات سلمان طارق,افتح شات,سلمان طارق,openChat
640,اتصل بسعيد,اتصل,سعيد,call
641,قم بفك الحظر عن محمود,فك الحظر,محمود,unblock
642,اتصل على بهاء وائل,اتصل,بهاء وائل,call
643,اتصل,اتصل,,call
644,اغلق الاتصال,اغلق الاتصال,,endCall
645,افتح الدردشة مع وائل,افتح الدردشة,وائل,openChat
646,اغلق الشات,اغلق الشات,,closeChat
647,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
648,اقرا رسائل احمد,اقرا رسائل,احمد,readMessages
649,ارسل رسالة نصية,رسالة نصية,,textMessage
650,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
651,حظر مهاب محمود,حظر,مهاب محمود,block
652,فك الحظر عن سامي سامي,فك الحظر,سامي سامي,unblock
653,اتصال,اتصال,,call
654,انهي المكالمة,انهي المكالمة,,endCall
655,افتح الشات مع علاء صلاح,افتح الشات,علاء صلاح,openChat
656,اغلق المحادثة,اغلق المحادثة,,closeChat
657,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
658,اقرا الرسائل,اقرا الرسائل,,readMessages
659,ارسل رسالة نصية الى ياسر اسعد,رسالة نصية,ياسر اسعد,textMessage
660,ارسل رسالة صوتية الى هادي,رسالة صوتية,هادي,voiceMessage
661,قم بحظر علي سامر,حظر,علي سامر,block
662,فك الحظر,فك الحظر,,unblock
663,مكالمة,مكالمة,,call
664,ابدا مكالمة مع زياد سعيد,مكالمة,زياد سعيد,call
665,انهي الاتصال,انهي الاتصال,,endCall
666,مكالمة,مكالمة,,call
667,ابدأ الدردشة مع محمد,ابدأ الدردشة,محمد,openChat
668,مكالمة,مكالمة,,call
669,مكالمة,مكالمة,,call
670,اتصل بطارق علي,اتصل,طارق علي,call
671,مكالمة,مكالمة,,call
672,مكالمة,مكالمة,,call
673,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
674,اقرا رسائل وائل وائل,اقرا رسائل,وائل وائل,readMessages
675,اغلق المكالمة,اغلق المكالمة,,endCall
676,رسالة نصية الى محمود ياسر,رسالة نصية,محمود ياسر,textMessage
677,انهي الدردشة,انهي الدردشة,,closeChat
678,ارسل رسالة نصية,رسالة نصية,,textMessage
679,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
680,اقرا الرسائل,اقرا الرسائل,,readMessages
681,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
682,ارسل رسالة نصية الى سيد,رسالة نصية,سيد,textMessage
683,ارسل رسالة صوتية الى اسعد سعيد,رسالة صوتية,اسعد سعيد,voiceMessage
685,حظر,حظر,,block
684,حظر,حظر,,block
686,قم بفك الحظر عن سامح,فك الحظر,سامح,unblock
687,قم بفك الحظر عن سامح,فك الحظر,سامح,unblock
688,قم بفك الحظر عن عبدالله محمد,فك الحظر,عبدالله محمد,unblock
689,اتصل على هادي ايهاب,اتصل,هادي ايهاب,call
690,اغلق الاتصال,اغلق الاتصال,,endCall
691,اغلق الاتصال,اغلق الاتصال,,endCall
692,افتح المحادثة مع سامح سامي,افتح المحادثة,سامح سامي,openChat
693,انهي الشات,انهي الشات,,closeChat
694,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
695,اقرا رسائل طارق,اقرا رسائل,طارق,readMessages
696,رسالة نصية الى صلاح,رسالة نصية,صلاح,textMessage
697,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
698,حظر عبدالرحمن طارق,حظر,عبدالرحمن طارق,block
699,فك الحظر عن صلاح,فك الحظر,صلاح,unblock
700,اتصل,اتصل,,call
701,اتصل,اتصل,,call
702,انهي المكالمة,انهي المكالمة,,endCall
703,افتح محادثة ياسر وليد,افتح محادثة,ياسر وليد,openChat
704,انهي المحادثة,انهي المحادثة,,closeChat
705,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
706,اقرا الرسائل,اقرا الرسائل,,readMessages
707,ارسل رسالة نصية,رسالة نصية,,textMessage
708,ارسل رسالة صوتية الى اسعد هاني,رسالة صوتية,اسعد هاني,voiceMessage
709,قم بحظر سامي مهاب,حظر,سامي مهاب,block
710,فك الحظر,فك الحظر,,unblock
711,اتصال,اتصال,,call
712,مكالمة,مكالمة,,call
713,انهي الاتصال,انهي الاتصال,,endCall
714,افتح شات ايهاب مهاب,افتح شات,ايهاب مهاب,openChat
715,اغلق الدردشة,اغلق الدردشة,,closeChat
716,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
717,اقرا رسائل هادي هادي,اقرا رسائل,هادي هادي,readMessages
718,ارسل رسالة نصية الى سلمان,رسالة نصية,سلمان,textMessage
719,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
720,حظر,حظر,,block
721,قم بفك الحظر عن احمد,فك الحظر,احمد,unblock
722,ابدا مكالمة مع صلاح,مكالمة,صلاح,call
723,اتصل بطارق هادي,اتصل,طارق هادي,call
724,اتصل على عبدالعزيز عبدالله,اتصل,عبدالعزيز عبدالله,call
725,اتصل,اتصل,,call
726,اغلق المكالمة,اغلق المكالمة,,endCall
727,افتح الدردشة مع سعيد زياد,افتح الدردشة,سعيد زياد,openChat
728,اغلق الشات,اغلق الشات,,closeChat
729,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
730,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
731,اقرا الرسائل,اقرا الرسائل,,readMessages
732,رسالة نصية الى عبدالرحمن,رسالة نصية,عبدالرحمن,textMessage
733,ارسل رسالة صوتية الى عبدالله,رسالة صوتية,عبدالله,voiceMessage
734,حظر علاء,حظر,علاء,block
735,فك الحظر عن سامي علي,فك الحظر,سامي علي,unblock
736,اتصال,اتصال,,call
737,اتصال,اتصال,,call
738,اغلق الاتصال,اغلق الاتصال,,endCall
739,افتح الشات مع وائل,افتح الشات,وائل,openChat
740,اغلق المحادثة,اغلق المحادثة,,closeChat
741,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
742,اقرا رسائل سامح,اقرا رسائل,سامح,readMessages
743,ارسل رسالة نصية,رسالة نصية,,textMessage
744,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
745,قم بحظر صلاح سليمان,حظر,صلاح سليمان,block
746,فك الحظر,فك الحظر,,unblock
747,فك الحظر,فك الحظر,,unblock
748,فك الحظر,فك الحظر,,unblock
749,فك الحظر,فك الحظر,,unblock
750,مكالمة,مكالمة,,call
751,انهي المكالمة,انهي المكالمة,,endCall
752,مكالمة,مكالمة,,call
753,انهي الاتصال,انهي الاتصال,,endCall
754,ابدا مكالمة مع اسعد بهاء,مكالمة,اسعد بهاء,call
755,اغلق المكالمة,اغلق المكالمة,,endCall
756,ابدأ الدردشة مع مهاب,ابدأ الدردشة,مهاب,openChat
757,انهي الدردشة,انهي الدردشة,,closeChat
758,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
759,اقرا الرسائل,اقرا الرسائل,,readMessages
760,ارسل رسالة نصية الى محمود سليمان,رسالة نصية,محمود سليمان,textMessage
761,ارسل رسالة صوتية الى علي,رسالة صوتية,علي,voiceMessage
762,حظر,حظر,,block
763,قم بفك الحظر عن ياسر علي,فك الحظر,ياسر علي,unblock
764,اتصل بسامر زياد,اتصل,سامر زياد,call
765,اغلق الاتصال,اغلق الاتصال,,endCall
766,انهي الشات,انهي الشات,,closeChat
767,انهي الشات,انهي الشات,,closeChat
768,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
769,اقرا رسائل سامر مهاب,اقرا رسائل,سامر مهاب,readMessages
770,رسالة نصية الى سعيد,رسالة نصية,سعيد,textMessage
771,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
772,حظر علاء زياد,حظر,علاء زياد,block
773,فك الحظر عن سليمان,فك الحظر,سليمان,unblock
774,قم بحظر عبدالله سامح,حظر,عبدالله سامح,block
775,فك الحظر,فك الحظر,,unblock
776,اتصل على احمد,اتصل,احمد,call
777,انهي المكالمة,انهي المكالمة,,endCall
778,انهي المحادثة,انهي المحادثة,,closeChat
779,انهي المحادثة,انهي المحادثة,,closeChat
780,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
781,اقرا الرسائل,اقرا الرسائل,,readMessages
782,ارسل رسالة نصية,رسالة نصية,,textMessage
783,ارسل رسالة صوتية الى زياد,رسالة صوتية,زياد,voiceMessage
784,حظر,حظر,,block
785,قم بفك الحظر عن زياد,فك الحظر,زياد,unblock
786,اتصل,اتصل,,call
787,اتصال,اتصال,,call
788,انهي الاتصال,انهي الاتصال,,endCall
789,افتح المحادثة مع وائل طارق,افتح المحادثة,وائل طارق,openChat
790,اغلق الدردشة,اغلق الدردشة,,closeChat
791,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
792,اقرا رسائل احمد,اقرا رسائل,احمد,readMessages
793,ارسل رسالة نصية الى عبدالرحمن,رسالة نصية,عبدالرحمن,textMessage
794,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
795,حظر سليمان,حظر,سليمان,block
796,فك الحظر عن سعيد,فك الحظر,سعيد,unblock
797,مكالمة,مكالمة,,call
798,ابدا مكالمة مع مهاب عبدالرحمن,مكالمة,مهاب عبدالرحمن,call
799,اغلق المكالمة,اغلق المكالمة,,endCall
800,افتح محادثة ياسر محمد,افتح محادثة,ياسر محمد,openChat
801,اغلق الشات,اغلق الشات,,closeChat
802,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
803,اقرا الرسائل,اقرا الرسائل,,readMessages
804,رسالة نصية الى سامر وائل,رسالة نصية,سامر وائل,textMessage
805,ارسل رسالة صوتية الى هادي عبدالعزيز,رسالة صوتية,هادي عبدالعزيز,voiceMessage
806,قم بحظر سلمان ايهاب,حظر,سلمان ايهاب,block
807,فك الحظر,فك الحظر,,unblock
808,فك الحظر,فك الحظر,,unblock
809,اتصل بعبدالله بهاء,اتصل,عبدالله بهاء,call
810,اغلق الاتصال,اغلق الاتصال,,endCall
811,افتح شات احمد,افتح شات,احمد,openChat
812,اغلق المحادثة,اغلق المحادثة,,closeChat
813,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
814,اقرا رسائل ياسر,اقرا رسائل,ياسر,readMessages
815,ارسل رسالة نصية,رسالة نصية,,textMessage
816,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
817,حظر,حظر,,block
818,قم بفك الحظر عن ياسر,فك الحظر,ياسر,unblock
819,قم بفك الحظر عن ياسر,فك الحظر,ياسر,unblock
820,اتصل على صلاح,اتصل,صلاح,call
821,انهي المكالمة,انهي المكالمة,,endCall
822,افتح الدردشة مع وليد,افتح الدردشة,وليد,openChat
823,انهي الدردشة,انهي الدردشة,,closeChat
824,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
825,اقرا الرسائل,اقرا الرسائل,,readMessages
826,ارسل رسالة نصية الى بهاء علاء,رسالة نصية,بهاء علاء,textMessage
827,ارسل رسالة صوتية الى صلاح طارق,رسالة صوتية,صلاح طارق,voiceMessage
828,حظر سليمان سامح,حظر,سليمان سامح,block
829,فك الحظر عن بهاء سامر,فك الحظر,بهاء سامر,unblock
830,اتصل,اتصل,,call
831,انهي الاتصال,انهي الاتصال,,endCall
832,افتح الشات مع اسعد,افتح الشات,اسعد,openChat
833,انهي الشات,انهي الشات,,closeChat
834,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
835,اقرا رسائل سعيد سامح,اقرا رسائل,سعيد سامح,readMessages
836,رسالة نصية الى سامر,رسالة نصية,سامر,textMessage
837,قم بحظر محمود,حظر,محمود,block
838,فك الحظر,فك الحظر,,unblock
839,قم بفك الحظر عن علي وائل,فك الحظر,علي وائل,unblock
840,فك الحظر عن احمد محمد,فك الحظر,احمد محمد,unblock
841,ابدأ الدردشة مع وائل,ابدأ الدردشة,وائل,openChat
842,اتصال,اتصال,,call
843,اغلق المكالمة,اغلق المكالمة,,endCall
844,مكالمة,مكالمة,,call
845,اغلق الاتصال,اغلق الاتصال,,endCall
846,اغلق الاتصال,اغلق الاتصال,,endCall
847,افتح المحادثة مع سعيد,افتح المحادثة,سعيد,openChat
848,انهي المحادثة,انهي المحادثة,,closeChat
850,اقرا الرسائل,اقرا الرسائل,,readMessages
849,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
851,ارسل رسالة نصية,رسالة نصية,,textMessage
852,ارسل رسالة نصية,رسالة نصية,,textMessage
853,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
854,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
855,حظر,حظر,,block
856,فك الحظر,فك الحظر,,unblock
857,ابدا مكالمة مع سعيد عبدالعزيز,مكالمة,سعيد عبدالعزيز,call
858,انهي المكالمة,انهي المكالمة,,endCall
859,افتح محادثة ياسر وائل,افتح محادثة,ياسر وائل,openChat
860,انهي الاتصال,انهي الاتصال,,endCall
861,انهي الاتصال,انهي الاتصال,,endCall
862,افتح شات احمد عبدالعزيز,افتح شات,احمد عبدالعزيز,openChat
863,اغلق الدردشة,اغلق الدردشة,,closeChat
864,اغلق الدردشة,اغلق الدردشة,,closeChat
865,هل توجد محادثة مفتوحة,محادثة مفتوحة,,readMessages
866,ارسل رسالة نصية الى سامي صلاح,رسالة نصية,سامي صلاح,textMessage
867,ارسل رسالة نصية الى محمد وليد,رسالة نصية,محمد وليد,textMessage
868,حظر عبدالرحمن,حظر,عبدالرحمن,block
869,ارسل رسالة صوتية الى صلاح عبدالعزيز,رسالة صوتية,صلاح عبدالعزيز,voiceMessage
870,رسالة نصية الى ياسر,رسالة نصية,ياسر,textMessage
871,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
872,قم بحظر وائل,حظر,وائل,block
873,قم بفك الحظر عن سيد,فك الحظر,سيد,unblock
874,اتصل بعلي عبدالله,اتصل,علي عبدالله,call
875,اغلق المكالمة,اغلق المكالمة,,endCall
876,اغلق المكالمة,اغلق المكالمة,,openChat
877,اتصل على احمد,اتصل,احمد,call
878,اتصل,اتصل,,call
879,اغلق الاتصال,اغلق الاتصال,,endCall
880,اتصال,اتصال,,call
881,مكالمة,مكالمة,,call
882,ابدا مكالمة مع سامر,مكالمة,سامر,call
883,اتصل بعبدالعزيز,اتصل,عبدالعزيز,call
884,اتصل على عبدالله مهاب,اتصل,عبدالله مهاب,call
885,اتصل,اتصل,,call
886,اتصل,اتصل,,call
887,انهي المكالمة,انهي المكالمة,,endCall
888,افتح الدردشة مع عبدالرحمن,افتح الدردشة,عبدالرحمن,openChat
889,اغلق الشات,اغلق الشات,,closeChat
890,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
891,اقرا رسائل سليمان,اقرا رسائل,سليمان,readMessages
892,ارسل رسالة نصية,رسالة نصية,,textMessage
893,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
894,حظر,حظر,,block
895,فك الحظر عن احمد هادي,فك الحظر,احمد هادي,unblock
896,اتصال,اتصال,,call
897,انهي الاتصال,انهي الاتصال,,endCall
898,اغلق المحادثة,اغلق المحادثة,,closeChat
899,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
900,اقرا الرسائل,اقرا الرسائل,,readMessages
901,اغلق المكالمة,اغلق المكالمة,,endCall
902,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
903,اقرا رسائل بهاء محمد,اقرا رسائل,بهاء محمد,readMessages
904,ارسل رسالة نصية الى سعيد,رسالة نصية,سعيد,textMessage
905,ارسل رسالة صوتية الى سامي,رسالة صوتية,سامي,voiceMessage
906,حظر عبدالله,حظر,عبدالله,block
907,فك الحظر,فك الحظر,,unblock
908,مكالمة,مكالمة,,call
909,مكالمة,مكالمة,,call
910,اغلق الاتصال,اغلق الاتصال,,endCall
911,افتح الشات مع هاني سامي,افتح الشات,هاني سامي,openChat
912,انهي الدردشة,انهي الدردشة,,closeChat
913,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
914,رسالة نصية الى سعيد,رسالة نصية,سعيد,textMessage
915,رسالة نصية الى سعيد,رسالة نصية,سعيد,textMessage
916,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
917,قم بحظر محمود,حظر,محمود,block
918,قم بفك الحظر عن ايهاب زياد,فك الحظر,ايهاب زياد,unblock
919,ابدا مكالمة مع مهاب محمد,مكالمة,مهاب محمد,call
920,انهي المكالمة,انهي المكالمة,,endCall
921,ابدأ الدردشة مع سامح,ابدأ الدردشة,سامح,openChat
922,انهي الشات,انهي الشات,,closeChat
923,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
924,اقرا الرسائل,اقرا الرسائل,,readMessages
925,ارسل رسالة نصية,رسالة نصية,,textMessage
926,ارسل رسالة صوتية الى مهاب,رسالة صوتية,مهاب,voiceMessage
927,حظر,حظر,,block
928,فك الحظر عن علاء ياسر,فك الحظر,علاء ياسر,unblock
929,اتصل ببهاء,اتصل,بهاء,call
930,اتصل ببهاء,اتصل,بهاء,call
931,اتصل على هادي,اتصل,هادي,call
932,انهي الاتصال,انهي الاتصال,,endCall
933,افتح المحادثة مع وليد هادي,افتح المحادثة,وليد هادي,openChat
934,انهي المحادثة,انهي المحادثة,,closeChat
935,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
936,اقرا رسائل سامح محمد,اقرا رسائل,سامح محمد,readMessages
937,ارسل رسالة نصية الى ايهاب صلاح,رسالة نصية,ايهاب صلاح,textMessage
938,اتصل,اتصل,,call
939,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
940,حظر محمد,حظر,محمد,block
941,فك الحظر,فك الحظر,,unblock
942,اغلق المكالمة,اغلق المكالمة,,endCall
943,افتح محادثة ياسر عبدالعزيز,افتح محادثة,ياسر عبدالعزيز,openChat
